Name,imageUrl,Location,linkedin,Description,Investment_Sector,investments,companyWebsite
Benjamin Flowers,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/benjamin_flowers.jpg,", UK",https://www.linkedin.com/in/benjamin-flowers,,,,https://www.deel.com/
Semir Jahic,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/semir_jahic.jpg,"London, UK",https://www.linkedin.com/in/jahic,,,,warmstealth.xyz
Luis Espinosa Andrade,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/luis_espinosa_andrade.jpg,"London, UK",https://www.linkedin.com/in/luis-espinosa-andrade,"Luis Espinosa Andrade is a pioneering entrepreneur at Climatech and Sorted, where he is actively involved in the startup and scaleup sectors. He holds an MBA and is also an Angel Investor. His role extends beyond business leadership to include investment in promising ventures.",,,https://www.sortedtech.io/
Darren Glenister,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/darren_glenister.jpg,", UK",https://www.linkedin.com/in/darren-glenister,"Darren Glenister serves as the CEO of Material Exchange, a revolutionary firm committed to transforming the fashion sourcing industry through its unique marketplace. Glenister, a seasoned entrepreneur, has successfully secured over â‚¬30 million in funding from leading investors such as Partech, Molten, Inventure, Norrsken, Day One Capital, and Lyra Ventures. Under Glenister's leadership, Material Exchange has built a robust global team of over 60 industry professionals, aimed at redefining how the footwear and apparel industries interact with materials. His innovative approach to fashion material sourcing is focused on overhauling the industry for a cleaner, more sustainable future. Material Exchange, established by a consortium of industry experts and digitalization pioneers, is working towards creating the.",,,http://www.material-exchange.com
Akash Gupta,https://firebasestorage.googleapis.com/v0/b/startupmag-c4bdc.appspot.com/o/investors%2Fakash-gupta.png?alt=media&token=3dc05ed3-2e96-4afd-b1d8-9410268a0375,"London, UK",https://uk.linkedin.com/in/akash-gupta-567a022,,"Software, B2B, Finance, Environment, Energy, Cleantech, Impact, Human Resources, Tech, Healthcare,","Accurx, BondAval, Origin Markets, Omnipresent, WeGift, zeroheight,",
James Saunders,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/james_saunders.jpg,", UK",https://www.linkedin.com/in/jamesesaunders,,,,https://arwen.ai
Nicco Perra,https://firebasestorage.googleapis.com/v0/b/startupmag-c4bdc.appspot.com/o/investors%2Fnicco-perra.jpeg?alt=media&token=480aa2e8-bc0c-4606-8bef-f41f47deeb17,"Copenhagen, US",https://www.linkedin.com/in/niccoloperra/,,"Impact,","AimHi Earth,",
Elettra Rosso,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/elettra_rosso.jpg,"London, UK",https://www.linkedin.com/in/elettra-rosso-02b49719b,,,,https://www.guden.uk
Peter Ã–stling,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/peter_ostling.jpg,"Wilmslow, UK",https://www.linkedin.com/in/petost,,,,http://www.custodi.se
Pete Wickham,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/pete_wickham.jpg,"London, UK",https://www.linkedin.com/in/pete-wickham-b0b176110,"Pete Wickham is an angel investor and member of the UK's first Angel Syndicate, a community specifically created for end-users of tech-enabled solutions. The syndicate aims to raise funds from individuals who comprehend and align with the vision of these tech solutions. Wickham and his team provide a high-quality deal flow and foundational insight into early-stage investing. The size of their community enables them to offer investors access to deals at low minimum investment thresholds, thereby democratizing access to early-stage private equity investments.",,,http://www.kluster.com
Alec Dent,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/alec_dent.jpg,", UK",https://www.linkedin.com/in/alecdent,"Alec Dent is a dynamic professional known for his innovative contributions in the business world. He is an angel investor and a prominent figure in the startup ecosystem, having previously co-founded Weezy and served as a General Manager at Getir. Additionally, Dent is recognized for his role as an Angel Investor at Atomico, where he helps to fund and support promising startups.",,"Hybr,",http://getir.com
Nick Beighton,https://firebasestorage.googleapis.com/v0/b/startupmag-c4bdc.appspot.com/o/investors%2Fnick-beighton.jpeg?alt=media&token=9de38f1e-5827-4653-afe4-857803dba10b,"St Albans, UK",https://www.linkedin.com/in/nick-beighton-3867023/,,"Retail and Commerce, Travel, Leisure, Fitness, Food and Beverage, Software,","Reboxed,",
Charles Delingpole,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/charles_delingpole.jpg,"London, UK",https://www.linkedin.com/in/delingpole/,"<p> Charles Delingpole is a technology entrepreneur, angel investor and journalist with extensive experience in financial services across the U.S., Europe, and Asia. </p> <h2>Charles Delingpole, the angel investor</h2> <p> As an angel investor, Charles Delingpole is very active and has invested in the following startups: Juniper, Prosper, Morphoses, Caliza, Sync Savings, Superlayer, Thirdfort, Finclusion Group, HUBUC, Vitt, Whym, Vauban, Notabene, Stitch, Nook, Bondaval, PaySika, Crezco, incard, Vyne Technologies, inai, Sprinque, Veremark, MONET, seedata.io, Anorak, Payosu, SEON, Mono, TreeCard, Credit Kudos, Griffin, Koyo, TaxScouts </p> <h2>Charles Delingpole and ComplyAdvantage</h2> <p> Charles is the founder and Executive Chairman of ComplyAdvantage. </p> <p> ComplyAdvantage is a financial technology company that specialises in providing anti-money laundering (AML) and counter-financing of terrorism (CFT) solutions to financial institutions and other businesses. </p> <p> The company offers a platform that uses artificial intelligence and machine learning to help organisations identify and manage financial crime risks more effectively. </p> <h2>Charles Delingpoleâ€™s background</h2> <p> Delingpole previously co-founded and served as CEO of MarketFinance, a business finance company, and he also has a background as an investment banker at J.P. Morgan Cazenove. </p> <p> He also founded The Student Room Group, the world's largest student discussion forum, at the age of 16. </p> <p> Delingpole holds an MA in Politics from Trinity College Cambridge and an MSc in Management, Strategy, and Finance from the LSE. </p>","Tech, AI, Biotech, Life Sciences, Healthcare, Marketing, Software, Finance, Insurance, Retail and Commerce, Media, Entertainment, Leisure, Fitness,","Wearepercent.com, Sylvera, Vauban, Golden, Epoch Biodesign, Codat, Causaly, Juniper, Prosper, Morphoses, Caliza, Sync Savings, Superlayer, Thirdfort, Finclusion Group, HUBUC, Vitt, Whym, Notabene, Stitch, Nook, Bondaval, PaySika, Crezco, incard, Vyne Technologies, inai, Sprinque, Veremark, MONET, seedata.io, Anorak, Payosu, SEON, Mono, TreeCard, Credit Kudos, Griffin, Koyo, TaxScouts, Firenze,",
Perez Tigidam,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/perez_tigidam.jpg,", UK",https://www.linkedin.com/in/pereztigidam,Angel investor.,,,â
Viktoria Tchoudakov,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/viktoria_tchoudakov.jpg,"London, UK",https://www.linkedin.com/in/tchoudakov,"Viktoria Tchoudakov serves as a Chief Marketing Officer (CMO), Chief Growth Officer (CGO), and an Angel Investor. She is also a Growth Advisor at Alma Angels, an organization known for supporting female-founded businesses. Tchoudakov has been instrumental in aiding these businesses on their growth journey. She has been an early investor in several promising startups including Yhangry, Jude, The Joy Club, Flexa, Anya Health, and BlckBx.",,,https://joinzoe.com/
Dougal Templeton,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/dougal_templeton.jpg,"Bristol, UK",https://www.linkedin.com/in/dougal-templeton-b73ba32/,,,,
Max Kruger,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/max_kruger.jpg,"London, UK",https://www.linkedin.com/in/maxkruger,"Max Kruger is a strategic technology leader, serving as a board advisor and angel investor. He is currently open to exploring new investment opportunities.",,,https://www.eagleeye.com
Paul Brown,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/paul_brown.jpg,"London, UK",https://www.linkedin.com/in/paul-brown-380bb1181,"Paul Brown holds the position of an investor at ACCELERATOR 360. In addition to this role, he also engages in angel investing.",,,â
Vinay Vimalan,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/vinay_vimalan.jpg,"London, UK",https://www.linkedin.com/in/vinay-vimalan,"Vinay Vimalan is currently seeking new talent for his company. Holding the position of CEO at Capital Placement, Vimalan is also a partner at The Consulting Co. Beyond these roles, he is an active angel investor.",,,https://linktr.ee/capital_placement?utm_source=linktree_admin_share
Tony Jamous,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/tony_jamous.jpg,", UK",https://www.linkedin.com/in/teljamou,,,,
Greg Mccallum,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/greg_mccallum.jpg,"Eastbourne, UK",https://www.linkedin.com/in/gregmacuk,"Greg McCallum serves as a business mentor and commercial advisor, offering one-hour complimentary advisory sessions. He is the co-founder and CEO of Observic, a company that specializes in business services. In addition to his leadership role at Observic, McCallum hosts a program called Founders Unplugged and is also an angel investor.",,,http://www.thinkwork.info
Tilton Taylor,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/tilton_taylor.jpg,"London, UK",https://www.linkedin.com/in/tiltont,"Tilton Taylor is a member and angel investor at The Revenue Syndicate, Europe's premier investment community and angel investment syndicate specifically designed for go-to-market operators in the European tech industry. The Syndicate boasts over 500 exclusive members, all of whom are leading go-to-market practitioners in Europe, steering the growth of some of the world's fastest-growing companies. The members, including Taylor, have the option to invest as little as Â£1,000 per deal, with no membership fees. The Revenue Syndicate provides a unique platform for founders to secure funding from go-to-market operators who possess the expertise to generate revenue and assist in building their revenue engine.",,,https://salesloft.com
Jason Simpson,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/jason_simpson.jpg,"London, UK",https://www.linkedin.com/in/jason-simpson-50012a115,"Jason Simpson is a serial investor with a substantial financial backing, specializing as an angel investor. His investment portfolio is diverse, encompassing sectors such as offshore drilling, offshore oil and gas, private equity, mergers and acquisitions, and venture capital. After amassing wealth in the oil and gas sector, Simpson has diversified his investments across a multitude of companies. Simpson has a keen interest in technology, particularly within the fintech and medtech industries, provided he can comprehend it. He also shows a strong inclination towards life science technology related to compliance. Simpson's investment approach is a blend of traditional and innovative, favouring businesses with proven track records, while also showing an interest in ventures that challenge the norm and disrupt the status.",,,â
Tom Castley,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/tom_castley.jpg,"Victoria, UK",https://www.linkedin.com/in/tomcastley,"Tom Castley serves as a Chief Revenue Officer, specializing in Software as a Service (SaaS) revenue leadership. In addition to his primary role, he also operates as an angel investor and a coach. His portfolio includes numerous investments, demonstrating his active participation in the financial market.",,,https://www.sedna.com
Julia Baldet,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/julia_baldet.jpg,"London, UK",https://www.linkedin.com/in/julia-baldet-49a74aa4/?originalSubdomain=uk,"Julia Baldet serves as a private equity associate at BC Partners, a leading investment firm. In addition to her role at BC Partners, she is also an active angel investor, focusing her investments in the luxury, consumer, and tech sectors.","Finance, Tech, Software, B2C, Retail and Commerce, Metaverse,","KimaÃ¯, Konvi, The Edit LDN,",
Juliette Silvain,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/juliette_silvain.jpg,,https://uk.linkedin.com/in/juliette-silvain-685404129,,,,
Matthew Jones,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/matthew_jones.jpg,"London, UK",https://www.linkedin.com/in/matthewjones21,,,,www.thecruisemaps.com
Catherine Gardner,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/catherine_gardner.jpg,"London, UK",https://www.linkedin.com/in/catherine-gardner-111659159,,,,https://www.cognism.com
Ffion Davies,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/ffion_davies.jpg,", UK",https://www.linkedin.com/in/ffion-davies-b9536685,"Ffion Davies serves in multiple roles within the investment and start-up sectors. She is an Angel Investor, a Start-up Strategy Consultant, and a member of the Investment Advisory Board at Adelpha. In addition to these roles, Davies also functions as an Investment Advisor.",,,http://www.stdavids.world
Michelle Chuang,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/michelle_chuang.jpg,"London, UK",https://www.linkedin.com/in/michellechuang,"Michelle Chuang, an angel investor, identified and invested in a Helsinki-based game studio, Dazzle Rocks, during its initial stages. The company, under the guidance of CEO Stella Wang and COO Joonas Jokela, has recently raised $6.8 million in a financing round. The funds will be used to develop a Minecraft-like mobile MMO.",,,http://supersolid.com
Paul Tombs,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/paul_tombs.jpg,"Milton Keynes, UK",https://www.linkedin.com/in/paul-tombs-507b309,"Paul Tombs serves as the Technical Director at Geniusin, where he applies his expertise as both an inventor and investor.",,,https://www.buzz2get.com
"Mary McKenna, MBE","https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/mary_mckenna,_mbe.jpg","County Donegal, Ireland, County Donegal, Ireland",https://www.linkedin.com/in/mmarymckenna,"Mary McKenna, MBE, is a technology entrepreneur, angel investor and cross-border dweller who co-founded Derry-based online learning company, Learning Pool, in 2006. Following a successful government career and a stint in Silicon Valley, she exited the company in 2014 to work with early-stage startups. McKenna has a particular interest in supporting the growth of indigenous Irish and British tech companies, with a focus on first-time and female entrepreneurs. She is an Entrepreneurship Expert at Said Business School, University of Oxford, and serves as an Expert Advisor to the EU. She is also a co-founder of AwakenHub, a community for female founders in Ireland, and a trustee of the Centre for Acceleration of Social Technology.",,,http://www.ukbaa.org.uk
Chris Tottman,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/chris_tottman.jpg,"Manchester, UK",https://www.linkedin.com/in/chris-tottman/,,,,
Jon Allder,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/jon_allder.jpg,"Henley-on-Thames, UK",https://www.linkedin.com/in/jon-allder,,,,https://salesloft.com
Madeleine Portwain,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/madeleine_portwain.jpg,"Oxford, UK",https://www.linkedin.com/in/madeleine-portwain,Angel investor.,,,https://www.hrr.co.uk
Peter Bruce-Clark,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/peter_bruce_clark.jpg,"London, UK",https://www.linkedin.com/in/pbruceclark,"Peter Bruce-Clark holds prominent positions as the Founder and General Partner at Kalytix Ventures, and Global President at Strong Room AI. His expertise in impact-focused venture capital spans over a decade, with a track record that includes a partnership at Social Impact Capital (SIC), a New York-based global impact-focused VC firm. SIC, backed by renowned VCs such as Marc Andreessen, Chris Dixon, Peter Thiel, and others, is known for its ""Impact Arbitrage"" strategy across various sectors and geographies. Before joining SIC, Bruce-Clark served as the Head of Business Development at Real Capital Innovation, an investment technology platform backed by 8VC and Soros Fund Management. His career in Silicon Valley began with the creation.",,,https://kalytix.ventures/
Ejieme Eromosele,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/ejieme_eromosele.jpg,"London, UK",https://www.linkedin.com/in/ejieme,"Ejieme Eromosele serves as the General Manager for Europe, Middle East, and Africa (EMEA) at Quiq, where she spearheads the growth and expansion of the company's conversational customer experience (CX) platform in the region. In addition to her role as GM, she also acts as the executive sponsor of the culture committee within the organization. Eromosele boasts over 15 years of experience in customer success, strategy, and global business, having worked with industry leaders such as The New York Times, PwC, and Accenture. In addition to her corporate role, she is the founder of Success in Black, an award-winning platform designed to promote diversity, equity, and inclusion in the field of customer.",,,https://quiq.com
David Landsberg,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/david_landsberg.jpg,"London, UK",https://www.linkedin.com/in/david-landsberg-930399196,"David Landsberg, a business angel and investor, oversees Jetland, a company that invests in a diverse array of businesses at all stages, from startups to MBOs. Jetland's investments span across numerous sectors, with the goal of adding value to each business they partner with. Since its inception, Jetland has invested in sectors including toys, where they have collaborated with top global brands like Disney, consumer electronics, smartphone accessories, and licensed products, working with all Premier League Clubs. The firm also specializes in the security sector, specifically in power distribution, supplying to the UK's largest infrastructure companies. Additionally, Jetland has invested in various app companies. Investment amounts typically range from Â£25,000 to Â£250,000.",,,http://www.litterlotto.com
Gina King,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/gina_king.jpg,", UK",https://www.linkedin.com/in/ginaking11,"Gina King holds multiple roles in her professional sphere. She is an investor, contributing financial resources to various ventures. In addition, she serves as a board member for several organizations, providing guidance and strategic input. King also acts as a mentor and advisor, sharing her expertise and insights with others. On top of these roles, she is a certified sommelier, indicating a specialized knowledge in the field of wine and beverages.",,,https://supernodeglobal.com/
Jake Pacifico,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/jake_pacifico.jpg,"London, UK",https://www.linkedin.com/in/jake-pacifico-354b64,"Jake Pacifico serves as an advisor and angel investor to small and medium-sized enterprises (SMEs). His role involves providing guidance to the owners and founders of various start-ups and SMEs within the consumer industry. Pacifico collaborates with a network of industry contacts to identify and assist businesses, leveraging his access to private equity contacts to help these businesses raise capital. Additionally, Pacifico is an angel investor under the Seed Enterprise Investment Scheme (SEIS), with a small portfolio of start-up businesses that includes Brave Foods and Skin Sapiens.",,,http://www.haleon.com
Ankush Bhatia,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/ankush_bhatia.jpg,"London, UK",https://www.linkedin.com/in/ankush-bhatia-154559b,"Ankush Bhatia is a prominent angel investor involved in an angel syndicate consisting of 30 individuals from the startup and venture capital sectors. The syndicate primarily targets early-stage tech opportunities, with an investment strategy centered on supporting companies they believe should exist in the world. Bhatia has made personal investments through GFV in several companies, including Catch Financial, Minimum Eco Inc, Secondbake, and Lapse.",,,https://bikeclub.com/
Ivailo Jordanov,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/ivailo_jordanov.jpg,"London, UK",https://www.linkedin.com/in/ivailo,"Ivailo Jordanov transitioned from a career in software development to become an investor with Paper Ventures. His portfolio includes being a founding member of Altitude.fi, Daedalus.gg, and Spaceship DAO. He is also associated with Zero DAO and Punk DAO. Jordanov has made investments as a Limited Partner (LP) in several venture capital funds, including Maven 11, Bankless Ventures, DBA, Zero Knowledge Ventures, Lionheart Ventures, and Amphibian Capital. Furthermore, he has actively participated and invested in a number of Decentralized Autonomous Organizations (DAOs), such as Spaceship DAO, Zero DAO, Punk DAO, and Dark Horse DAO.",,,â
Elisabeth Ling,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/elisabeth_ling.jpg,"London, UK",https://www.linkedin.com/in/elisabethling,"Elisabeth Ling is a Non-Executive Director, Product Strategic Advisor, and Executive Coach with a deep-rooted passion for product development that dates back to 1997. She has a rich history of assisting companies of various sizes in driving product and commercial growth. Ling's product thinking and experience are anchored in her time spent at PayPal and eBay. Currently, Ling serves as an independent non-executive director at esure Group, a leading motor and home insurer with 2.3 million customers, wholly owned by Bain Capital. With a solid background in applied mathematics, she brings to the board a wealth of knowledge in product and data. Ling aids esure in leveraging data science and digital technology to deliver innovative and customer-centric solutions. In addition,.",,,http://www.esure.com
Nidhi Nautiyal,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/nidhi_nautiyal.jpg,"London, UK",https://www.linkedin.com/in/nidhi-nautiyal-10979214,"Nidhi Nautiyal is the founder, educator, and investor at Gen AI, a company specializing in EdTech and FinTech. In addition to leading the company, Nautiyal also plays a significant role in investing.",,,â
Sergei Nozdrenkov,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/sergei_nozdrenkov.jpg,"London, UK",https://www.linkedin.com/in/nozdrenkov,"Sergei Nozdrenkov, a software engineer generalist and entrepreneur, has an impressive background in tech. He spent six years with Alphabet, including a stint at Google X, where he dedicated three years to an ecology,biodiversity AI project. This initiative aimed to combat the insect biodiversity crisis, focusing on supporting insect pollinators, such as bees, and improving pest management to reduce pesticide use. Nozdrenkov is also passionate about marine life and is currently developing Wildflow, an early-stage ocean biodiversity startup. Wildflow aims to equip biodiversity researchers with advanced AI infrastructure to forecast coral bleaching events, organize various types of data into an open platform, and predict harmful algae blooms, among other things. In addition to his entrepreneurial.",,,https://wildflow.ai
Suzannah Steele,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/suzannah_steele.jpg,"Esher, UK",https://www.linkedin.com/in/suzannah-steele-315b3657,"Suzannah Steele is a seasoned finance professional currently serving as the Finance Director at Superhog, a digital trust platform that facilitates secure transactions in the short-term rentals sector. In addition to her role at Superhog, Steele is an active member of the HERmesa Angel syndicate, where she invests in startups co-founded by women. She also offers her expertise as a startup mentor. Before her current roles, Steele was employed at New Zealand Trade and Enterprise (NZTE), where she prepared high-growth companies for investment and connected them with potential investors. Her background includes corporate finance roles in both the UK and New Zealand. Steele's skill set is wide-ranging, encompassing mergers and acquisitions (M&A), financial modelling, val.",,,â
Selma Turajlic,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/selma_turajlic.jpg,"London, UK",https://www.linkedin.com/in/selma-turajlic,,,,
Oli Bage,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/oli_bage.jpg,"London, UK",https://www.linkedin.com/in/olibage,,,,http://www.lseg.com
Kass M.,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/kass_m.jpg,"London, UK",https://www.linkedin.com/in/kass-mohamed,"Kass M. is a private angel investor and mentor with a focus on start-up and early-stage high growth companies. Her areas of expertise span a wide range of sectors including energy, petroleum, oil and gas, and the marine industry. In addition to her investment activities, Kass M. is proficient in business strategy, change management, risk management, and business transformation. She also has extensive experience in project planning and management, sales and marketing leadership, performance management, and procurement. Kass M. is adept at business process improvement and business development. She also has a background in B2B settings and a particular interest in lubricants. Her primary investment strategy is to provide angel investments and offer mentoring to emerging businesses.",,,â
Kas Shirley,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/kas_shirley.jpg,"London, UK",https://www.linkedin.com/in/kas-shirley-8b7402a4,"Kas Shirley serves on the Board of Directors and also plays a significant role as an Angel Investor. In addition to these roles, Shirley is involved in early-stage investments and holds a position on the Board of Directors.",,,http://www.outsourcenow.us
Anthony Venios,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/anthony_venios.jpg,"Greece, Greece",https://www.linkedin.com/in/avenios,,,,http://www.kafsis.com
