Name,Image URL,sector,Location,linkedin,Twitter,stage,companyWebsite,contact
468 Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/468capcom.png,"AI, Automation, Energy, Greentech, Infrastructure, Generalist","Berlin, Germany",https://www.linkedin.com/company/468-capital/,@468Capital,"Seed, Growth",https://www.468cap.com/,contact@468cap.com
4BIO Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/4biocapitalcom.png,"Healthcare, Healthtech","London, UK",https://www.linkedin.com/company/4bio-capital/,https://twitter.com/4biocapital,"Pre-seed, Seed",https://www.4biocapital.com/,info@4biocapital.com
500 Startups,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/500co.png,Generalist,"San Francisco, US",https://www.linkedin.com/company/500global,@500GlobalVC,"Seed, Growth",https://500.co/,
SV Health Investors,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/svhealthinvestorscomfundsthe-dementia-discovery-fund.png,"Healthcare, Healthtech, Therapeutics, Biotech","London, UK",https://www.linkedin.com/company/sv-health-investors/,,"Pre-seed, Seed, Growth",https://svhealthinvestors.com/,hmaunder@svhealthinvestors.com
Zouk Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/zoukcom.png,"climatetech, infrastructure, technology, sustainability","London, UK",,,Growth,https://www.zouk.com/,https://www.zouk.com/contact-us
645 Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/645venturescom.png,Generalist,"NYC, US",https://www.linkedin.com/company/645-ventures/,@645ventures,"Seed, Growth",https://645ventures.com/,
6 Degrees Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/6degreesvc.png,"Fintech, SaaS","London, UK",https://www.linkedin.com/company/6degreescapital/,@6DegreesCapital,"Seed, Growth",https://6degrees.vc/,
7percent Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/7pcco.png,"Generalist, Deeptech","London, UK",https://www.linkedin.com/company/7pcventures/,@7pcventures,"Pre-Seed, Seed",http://7pc.co/,https://airtable.com/shrrSroqZrZ0fqEYa
83North,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/83northcom.png,Generalist,"London, UK",https://www.linkedin.com/company/83north/,@83NorthVC,Growth,https://www.83north.com/,
8VC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/8vccom.png,"Infrastructure IT, Biology, Life Sciences, Healthcare, Government, Defence, Logistics","Austin, US",https://www.linkedin.com/company/8vc/,https://x.com/8vc,"Series A, Growth",https://www.8vc.com/,
9900 Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/linkedincomcompany9900-capital.png,Generalist,"London, UK",https://www.linkedin.com/company/9900-capital/,,"Pre-seed, Seed, Growth",https://9900capital.com/,
9Yards Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/9yardsvc.png,"Fintech, Supply Chain","Los Angeles, US",https://www.linkedin.com/company/9yards-capital,@9yardscapital,Growth,https://9yards.vc/,info@9yardscapital.com
L Catterton,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/lcattertoncom.png,"Consumer, B2C","Greenwich, US",https://www.linkedin.com/company/l-catterton,@L_Catterton,Growth,https://www.lcatterton.com/,info@lcatterton.com
Astanor Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/astanorcom.png,"Impact, Food, Agtech, Greentech","London, UK",https://www.linkedin.com/company/astanor,,"Pre-seed, Seed, Growth",https://astanor.com/,https://astanor.com/connect/entrepreneurs/
Bowmark Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/bowmarkcom.png,"Data, AI, Managed IT Services, Software, Tech","London, UK",https://www.linkedin.com/company/bowmark-capital/,,Growth,https://www.bowmark.com/,info@bowmark.com
Gabriel Investment Syndicate,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/gabriel-iscom.png,Generalist,"Glasgow, UK",https://www.linkedin.com/company/gabriel-investments-ltd/,https://twitter.com/novosounduk/status/1839249039620981225,"Pre-seed, Seed",https://www.gabriel-is.com/,https://www.gabriel-is.com/contact/
South Central Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/sc-venturescom.png,Generalist,"Belgrade, Serbia",https://www.linkedin.com/company/south-central-ventures,@VenturesSc,"Pre-seed, Seed, Growth",https://sc-ventures.com/,info@sc-ventures.com
Velocity Partners,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/velocitypartnerscomblogb2b-ecosystem-marketing-part-2-a-conversation-with-scott-brinker.png,Generalist,"Athens, Greece",https://www.linkedin.com/company/velocity-partners-vc/,,"Pre-seed, Seed",https://velocitypartners.vc/,https://velocitypartners.vc/get-in-touch/
Lifted Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/liftventurescom.png,"Generalist, Female Founders","Leeds, UK",https://www.linkedin.com/company/liftedventures/,,"Pre-seed, Seed",https://liftedventures.co.uk/,info@liftedventures.co.uk
A Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/acapitalcom.png,Generalist,"Menlo Park, US",https://www.linkedin.com/company/a-capital-ventures/,,"Seed, Growth",https://acapital.com/,admin@acapital.com
AAB VC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/aabventurecapitalcom.png,Generalist,"Frisco, US",,,"Seed, Growth",https://www.aabventurecapital.com/,info@aabventurecapital.com
Abstract VC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/abstractvccom.png,Generalist,"San Francisco, US",https://www.linkedin.com/company/abstract-ventures/,,"Pre-seed, Seed",https://www.abstractvc.com/,
Accel,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/accelcom.png,Generalist,"London, UK",https://www.linkedin.com/company/accel-vc,@accel,"Seed, Growth",https://www.accel.com/,
Accenture Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/accenturecomus-enaboutventures-index.png,Generalist,"Dublin, Ireland",https://www.linkedin.com/company/accenture,@Accenture_US,Growth,https://www.accenture.com/us-en/about/ventures-index,
Accomplice Blockchain,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/accompliceblockchainco.png,Blockchain,"Boston, US",,@accomplices,"Pre-seed, Seed, Growth",https://accompliceblockchain.co/,â€â€â€â€â€â€â€â€â€â€â€â€â€â€â€â€â€â€â€â€â€COâ€â€â€NTACT@ACCOMPLICEBLOCKCHAIN.CO
ACE Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/aceandcompanycom.png,Generalist,"London, UK",https://www.linkedin.com/company/ace-and-company,,Growth,https://aceandcompany.com/,General Inquiries info@aceandcompany.com
Acequia Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/acecapcom.png,Generalist,"Seattle, US",https://www.linkedin.com/company/acequia-capital/,,"Pre-seed, Seed",https://www.acecap.com/,
ACFInvestors,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/acfinvestorscom.png,Generalist,"London, UK",http://www.linkedin.com/company/angel-cofund,@ACFinvestors,"Pre-Seed, Seed",https://www.acfinvestors.com/,info@angelcofund.co.uk
Acrew Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/acrewcapitalcom.png,"Data, Security, Fintech, Health, Human Empowerment","Palo Alto, US",https://www.linkedin.com/company/acrew-capital/,https://twitter.com/AcrewCapital,"Seed, Growth",https://www.acrewcapital.com/,hello@acrewcapital.com
Act VC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/actventurecapital.png,Generalist,"Dublin, Ireland",https://www.linkedin.com/company/act-venturecapital/?originalSubdomain=ie,@actvc?lang=en,"Seed, Growth",https://actventure.capital/,info@actvc.ie
ACTai Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/actaiventurescom.png,"social impact, greentech","New Castle, USA",https://www.linkedin.com/company/actai-ventures/,https://twitter.com/ACTAIVentures,"seed, series A",https://www.actaiventures.com/,hello@actaiventures.com
Active Partners,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/activepartners.png,B2C,"London, UK",https://www.linkedin.com/company/activepartners/,,"pre-seed, seed, growth",https://active.partners/,enquiries@active.partners
ActivumSG Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/activumsgcom.png,proptech,"London, UK",https://www.linkedin.com/company/activum-ventures/,https://twitter.com/activumsg,Growth,https://www.activumsg.com/,https://www.activumsg.com/#contact
Ada Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/adaventurescom.png,Generalist,"London, UK",https://uk.linkedin.com/in/francescawarner,@checkwarner,"Pre-Seed, Seed",https://www.adaventures.com/,https://app.zapflow.com/webentry/jqt9fa7jbnoymqdvxeui
Adara Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/adaravc.png,B2B,"Madrid, Spain",https://www.linkedin.com/company/adaravc/,@adaraventures,Seed,https://www.adara.vc/,
ADV,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/acceleratedventures.png,Generalist,"London, UK",https://www.linkedin.com/company/accelerated-digital-ventures?trk=biz-companies-cym,@AcceleratedDV,"Pre-Seed, Seed",https://accelerated.ventures/,https://accelerated.ventures/contact/
Advantage Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/advantagecapcom.png,Generalist,"St Louis, US",https://www.linkedin.com/company/advantage-capital-partners,@ACPImpact,"Pre-seed, Seed, Growth",https://www.advantagecap.com/,
Advent Life Sciences,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/adventlscom.png,Life science,"London, UK",,,"Seed, Series A, Growth",http://adventls.com/,contact@adventLS.com
AENU,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/aenucom.png,"Climatetech, Impact","Berlin, Germany",https://www.linkedin.com/company/aenu,@Aenu_impact,"Seed, Growth",https://www.aenu.com/,
Aenu VC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/aenucom.png,"Impact, Climate, Social","Berlin, Germany",https://www.linkedin.com/company/aenu,@Aenu_impact,Growth,https://www.aenu.com/,
Agronomics,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/agronomicsim.png,"Foodtech, B2C","London, UK",https://www.linkedin.com/company/agronomics-limited/,https://twitter.com/AgronomicsLtd,"Seed, Growth",https://agronomics.im/,https://agronomics.im/contact-us/
Ahren Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ahreninnovationcapitalcom.png,"Deep tech, Deep science","London, UK",https://www.linkedin.com/organization-guest/company/ahren-innovation-capital,@ahrenlp?lang=en,"Seed, Growth",https://www.ahreninnovationcapital.com/,
Ahren Innovation Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ahreninnovationcapitalcom.png,"Deeptech, Deepscience","London, UK",https://www.linkedin.com/organization-guest/company/ahren-innovation-capital,@ahrenlp?lang=en,"Pre-seed, Seed, Growth",https://www.ahreninnovationcapital.com/,
Air Street Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/airstreetcom.png,AI,"London, UK",https://www.linkedin.com/company/airstreetcapital/,@airstreet,"Pre-seed, Seed, Growth",https://www.airstreet.com/,
AlbionVC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/albionvc.png,"Software, B2B, Marketplace","London, UK",https://www.linkedin.com/company/albionvc/,@AlbionVC,"Seed, Series A, Growth",https://www.albion.vc/,
Alchimia,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/alchimiainvestmentscom.png,Generalist,"Milan, Italy",https://www.linkedin.com/company/alchimia-fund/,,"Pre-seed, Seed, Growth",https://alchimiainvestments.com/,info@alchimiainvestments.com
Alix Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/alixvc.png,Life Science,"San Francisco, US",https://www.linkedin.com/company/alix-ventures,@bios_community,"Pre-seed, Seed",https://www.alix.vc/,
Allegory,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/allegorycapital.png,Generalist,"Gland, Switzerland",https://www.linkedin.com/company/allegory-capital/?,@allegory_cap,"Pre-seed, Seed, Growth",https://allegory.capital/,invest@allegory.capital
AlleyCorp,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/alleycorpcom.png,"Robotics, Impact, Healthcare, Healthtech","NYC, US",https://www.linkedin.com/company/nyalley/,,"Pre-seed, Seed",https://alleycorp.com/,info@alleycorp.com
Alpha Future Funds,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/alphafuturefundscom.png,Sustainability,"Luxemburg, Luxemburg",https://www.linkedin.com/company/alpha-future-funds/,,"Pre-seed, Seed, Growth",https://alphafuturefunds.com/,
AltaIR Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/altairvc.png,Generalist,"San Francisco, US",https://www.linkedin.com/company/altair-capital-management/,@altairvc?lang=en,"Pre-seed, Seed, Growth",https://altair.vc/,start@altair.vc
Alumni Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/avvc.png,Generalist,"Manchester, US",https://www.linkedin.com/company/alumniventures,@alumniventures,"Pre-seed, Seed, Growth",https://www.av.vc/,info@av.vc
Amadeus Capital Partners,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/amadeuscapitalcom.png,Generalist,"London, UK",,,"Seed, Series A, Growth",https://www.amadeuscapital.com/,https://www.amadeuscapital.com/contact/
Amplifier,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/amplifiergameinvestcom.png,Gaming,"Stockholm, Sweden",https://www.linkedin.com/company/amplifer-game-invest/about/,@amplifiergi,"Pre-seed, Seed, Growth",https://www.amplifiergameinvest.com/,contact@amplifiergameinvest.com
Amplo,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/amplovccom.png,Generalist,"Texas, US",,,"Pre-seed, Seed, Growth",http://amplovc.com/,
Anamcara Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/anamcaracapitalcom.png,B2B,"London, UK",https://www.linkedin.com/company/anamcaracapital/,@AnamcaraCap,"Pre-seed, Seed",https://www.anamcaracapital.com/,
Andreessen Horowitz,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/a16zcom.png,Generalist,"Menlo Park, US",https://www.linkedin.com/company/a16z/,@a16z,"Pre-seed, Seed, Growth",https://a16z.com/,businessplans@a16z.com
Angular Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/angularventurescom.png,"DeepTech, Insurtech","London, UK",https://www.linkedin.com/company/angularventures,@angularventures?lang=en,"Seed, Growth",https://www.angularventures.com/,https://angularventures.com/contact/
Anthemis,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/anthemiscom.png,"FinTech, InsurTech, Software","London, UK",https://www.linkedin.com/company/1342997?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1342997%2Cidx%3A2-1-2%2CtarId%3A1469475736270%2Ctas%3Aanthemis%20group,@anthemis,"Pre-Seed, Seed, Series A",http://www.anthemis.com/,info@anthemis.com
Antler,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/antlerco.png,Generalist,"London, UK",https://www.linkedin.com/company/antlerglobal/,@AntlerGlobal,"Pre-seed, Seed, Growth",https://www.antler.co/,https://apply.antler.co/signup
AperiamVentures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/appdealroomcoinvestorsmathcapital.png,"Marketing, Media","NYC, US",https://www.linkedin.com/company/aperiamventures/,,"Pre-seed, Seed, Growth",https://www.aperiam.vc/,info@aperiam.vc
APEX Ventures Medical Fund,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/apexventures.png,"Deeptech, Healthtech","Vienna, Austria",https://www.linkedin.com/company/apex-vc/,@apex_vc,"Pre-seed, Seed",https://www.apex.ventures/,office@apex.ventures
Aphelion,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/aphelioncapitalnet.png,Healthcare,"Mill Valley, US",https://www.linkedin.com/company/aphelion-capital/about/,,"Seed, Growth",https://www.aphelioncapital.net/,venturedeals@aphelioncap.com
Apposite Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/appositecapitalcom.png,Healthcare,"London, UK",https://www.linkedin.com/company/apposite-capital,,"Seed, Series A, Growth",https://www.appositecapital.com/,enquiry@appositecapital.com
APX,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/apxvc.png,Generalist,"Berlin, Germany",https://www.linkedin.com/company/apxberlin,@apxberlin,"Pre-seed, Seed",https://apx.vc/,
APX Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/apxvc.png,Generalist,"Berlin, Germany",https://www.linkedin.com/company/apxberlin,@apxberlin,"Pre-seed, Seed, Growth",https://apx.vc/,hello@apx.vc
Arcan,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/arcancapitalcom.png,Property,"Atlanta, US",https://www.linkedin.com/company/arcan-capital/,@ArcanCapital,"Seed, Growth",https://www.arcancapital.com/,https://www.arcancapital.com/contact
Archangels,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/archangelsonlinecom.png,Scotland,"Edinburgh, UK",https://www.linkedin.com/company/archangel-investors-limited/,@ArchangelInvest,"Pre-seed, Seed, Growth",https://archangelsonline.com/,
Archetype,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/archetypefund.png,Generalist,"NYC, US",https://www.linkedin.com/company/archetypevc/,@archetypevc,"Seed, Growth",https://www.archetype.fund/,
Archipelago Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/archipelagoventuresuk.png,Impact,"London, UK",https://www.linkedin.com/company/aei-finance/,,"Seed, Growth",https://www.archipelagoventures.uk/,https://www.archipelagoventures.uk/contact-us-form
Argan Capital Advisors,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/argancapitalcom.png,"Industrial, Services, Consumer, B2C","London, UK",,,Growth,http://www.argancapital.com,http://www.argancapital.com/contact-us
Arix Bioscience,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/arixbiosciencecom.png,Impact,"London, UK",https://www.linkedin.com/company/arix-bioscience-plc/,@arixbioscience,"Seed, Series A, Growth",https://arixbioscience.com/,info@arixbioscience.com
Arrington Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/arringtoncapitalcom.png,"Web 3, Blockchain","Miami, US",https://www.linkedin.com/company/arrington-capital/,@arringtonxrpcap,"Pre-seed, Seed",https://www.arringtoncapital.com/,contact@arringtoncapital.com
Arsenal Growth,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/arsenalgrowthcom.png,SaaS,"Winter Park, USA",https://www.linkedin.com/in/jasonrottenberg/,@ArsenalGrowth,"seed, growth",https://arsenalgrowth.com/,deal@arsenalgrowth.com
Arts Alliance,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/artsalliancecouk.png,Generalist,"London, UK",https://www.linkedin.com/company/artsalliance/,,"Pre-Seed, Seed",http://artsalliance.co.uk,https://artsalliance.typeform.com/to/UOKPnH
Ascend Vietnam Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ascendvietnamcom.png,generalist,", Vietnam",https://www.linkedin.com/company/ascendvietnam/,,"seed, growth",https://ascendvietnam.com/,
Ascension,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ascensionventuresorg.png,Healthcare,"London, UK",https://www.linkedin.com/company/ascensionvc/,,"Seed, Growth",https://www.ascension.vc/,info@ascensionventures.org
Ascension Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ascensionvc.png,"Tech, Impact","London, UK",https://www.linkedin.com/company/ascensionvc/,@ascensiongrp,"Pre-Seed, Seed",https://www.ascension.vc/,https://www.ascensionventures.com/contact
Astellas Venture Management,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/astellasventurecom.png,Pharma,"Brisbane, Australia",https://www.linkedin.com/company/astellas-pharma-us/,,"Seed, Growth",https://www.astellasventure.com/,
At One Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/atoneventurescom.png,Deeptech,"San Francisco, US",https://www.linkedin.com/company/at-one-ventures/,https://twitter.com/atoneventures,"Seed, Growth",https://www.atoneventures.com/,https://docs.google.com/forms/d/e/1FAIpQLSeSJobuh_RN6EOoDTflF0y9VUMaFWLJ5jBEN2xhvFDnlFfmVg/viewform
Atempo,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/atempogrowthcom.png,Generalist,"London, UK",https://www.linkedin.com/company/atempo-growth/,@AtempoGrowth,"Series A, Growth",https://www.atempogrowth.com/,
Atlantic Bridge Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/abvencom.png,"Deeptech, Cyber security, Data, AI, IoT, Healthtech, Climatetech","Dublin, Ireland",https://ie.linkedin.com/company/atlanticbridge/,@atlanticbridgev/,"Seed, Growth",https://www.abven.com/,https://abven.com/contact-us/
Atlas Venture,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/atlasventurecom.png,"biotech, healthtech","Cambridge, USA",https://www.linkedin.com/company/atlas-venture/,@atlasventure,"seed, growth",https://atlasventure.com/,https://atlasventure.com/contact
Augmentum Fintech,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/augmentumvc.png,FinTech,"London, UK",https://www.linkedin.com/company/augmentum-fintech/,@augmentumf?lang=en,"Seed, Growth",https://augmentum.vc/,info@augmentum.vc
Automotive Ventures Inc,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/automotiveventurescom.png,"Automotive, Mobility","Atlanta, US",https://www.linkedin.com/company/automotive-ventures-llc,@VenturesAuto,"Pre-seed, Seed, Growth",https://www.automotiveventures.com/,
Autotech Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/autotechvccom.png,"Transport, Mobility","Menlo Park, US",https://www.linkedin.com/company/autotech-ventures/,,"Seed, Growth",https://www.autotechvc.com/,
Avenir Growth Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/avenirgrowthcom.png,Generalist,"NYC, US",https://www.linkedin.com/company/avenir-growth-capital/,,Growth,https://www.avenirgrowth.com/,
Averroes Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/averroescapitalcom.png,generalist,"London, UK",https://www.linkedin.com/company/averroescapital/,,Growth,https://averroescapital.com/,info@averroescapital.com
